iter	Passed	Remaining
793	5938	1540
794	5958	1536
795	5973	1530
796	5980	1523
797	5986	1515
798	5993	1507
799	6000	1500
800	6007	1492
801	6014	1484
802	6022	1477
803	6028	1469
804	6034	1461
805	6040	1453
806	6046	1446
807	6053	1438
808	6059	1430
809	6066	1422
810	6072	1415
811	6079	1407
812	6086	1399
813	6092	1392
814	6098	1384
815	6104	1376
816	6111	1368
817	6117	1361
818	6123	1353
819	6130	1345
820	6136	1337
821	6142	1330
822	6149	1322
823	6155	1314
824	6161	1307
825	6167	1299
826	6175	1291
827	6181	1284
828	6187	1276
829	6193	1268
830	6199	1260
831	6206	1253
832	6213	1245
833	6219	1237
834	6227	1230
835	6234	1223
836	6241	1215
837	6249	1208
838	6256	1200
839	6264	1193
840	6272	1185
841	6279	1178
842	6286	1170
843	6294	1163
844	6301	1155
845	6308	1148
846	6315	1140
847	6323	1133
848	6330	1126
849	6338	1118
850	6345	1110
851	6352	1103
852	6360	1096
853	6367	1088
854	6375	1081
855	6383	1073
856	6390	1066
857	6398	1059
858	6406	1051
859	6413	1044
860	6421	1036
861	6429	1029
862	6437	1021
863	6444	1014
864	6452	1007
865	6459	999
866	6466	991
867	6473	984
868	6481	977
869	6488	969
870	6497	962
871	6505	954
872	6512	947
873	6520	940
874	6527	932
875	6535	925
876	6542	917
877	6550	910
878	6558	902
879	6566	895
880	6573	887
881	6581	880
882	6588	872
883	6595	865
884	6603	858
885	6610	850
886	6618	843
887	6625	835
888	6632	828
889	6639	820
890	6647	813
891	6656	805
892	6664	798
893	6671	791
894	6678	783
895	6686	776
896	6694	768
897	6701	761
898	6708	753
899	6716	746
900	6724	738
901	6731	731
902	6738	723
903	6746	716
904	6753	708
905	6761	701
906	6770	694
907	6777	686
908	6785	679
909	6796	672
910	6821	666
911	6830	659
912	6839	651
913	6847	644
914	6857	637
915	6864	629
916	6872	622
917	6879	614
918	6887	607
919	6894	599
920	6902	592
921	6910	584
922	6917	577
923	6925	569
924	6932	562
925	6941	554
926	6949	547
927	6956	539
928	6963	532
929	6969	524
930	6976	517
931	6983	509
932	6992	502
933	6999	494
934	7005	487
935	7012	479
936	7020	472
937	7026	464
938	7035	457
939	7042	449
940	7051	442
941	7058	434
942	7068	427
943	7074	419
944	7083	412
945	7090	404
946	7097	397
947	7103	389
948	7110	382
949	7118	374
950	7125	367
951	7133	359
952	7140	352
953	7147	344
954	7154	337
955	7162	329
956	7170	322
957	7178	314
958	7185	307
959	7193	299
960	7200	292
961	7208	284
962	7215	277
963	7223	269
964	7230	262
965	7238	254
966	7245	247
967	7254	239
968	7262	232
969	7269	224
970	7276	217
971	7284	209
972	7291	202
973	7298	194
974	7306	187
975	7314	179
976	7321	172
977	7329	164
978	7336	157
979	7343	149
980	7351	142
981	7358	134
982	7366	127
983	7373	119
984	7381	112
985	7389	104
986	7396	97
987	7404	89
988	7411	82
989	7420	74
990	7426	67
991	7434	59
992	7441	52
993	7449	44
994	7456	37
995	7463	29
996	7471	22
997	7478	14
998	7485	7
999	7493	0
